2021-03-15 13:10:55,071; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: --- Logging error ---
2021-03-15 13:10:55,072; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: Traceback (most recent call last):
2021-03-15 13:10:55,073; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 1025, in emit
2021-03-15 13:10:55,073; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     msg = self.format(record)
2021-03-15 13:10:55,073; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 869, in format
2021-03-15 13:10:55,074; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     return fmt.format(record)
2021-03-15 13:10:55,074; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 608, in format
2021-03-15 13:10:55,074; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     record.message = record.getMessage()
2021-03-15 13:10:55,074; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Program Files\Python\Version37\lib\logging\__init__.py", line 369, in getMessage
2021-03-15 13:10:55,075; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     msg = msg % self.args
2021-03-15 13:10:55,075; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: TypeError: not all arguments converted during string formatting
2021-03-15 13:10:55,075; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr: Call stack:
2021-03-15 13:10:55,080; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 62, in <module>
2021-03-15 13:10:55,081; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     main()
2021-03-15 13:10:55,081; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:/Users/tmsusr/PycharmProjects/ScreenRecording/main.py", line 31, in main
2021-03-15 13:10:55,081; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     app.run()
2021-03-15 13:10:55,081; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\app.py", line 950, in run
2021-03-15 13:10:55,082; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     runTouchApp()
2021-03-15 13:10:55,082; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:   File "C:\Users\tmsusr\PycharmProjects\ScreenRecording\venv\lib\site-packages\kivy\base.py", line 582, in runTouchApp
2021-03-15 13:10:55,082; WARNING ; [9264 - MainProcess - 11492]; kivy                               ; write               ;  335: stderr:     EventLoop.mainloop()
